BYYY BM BD BH EYYY EM ED EH  SST SSTANOM HOTSPOT  DHW   Lat    Lon Reef_Name
2002 12 09 23 2002 12 14 00 27.70   1.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 12 14 00 2002 12 16 23 27.70   0.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 12 16 23 2002 12 20 23 28.00   1.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 12 20 23 2002 12 24 00 28.00   1.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 12 24 00 2002 12 28 00 28.60   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 12 28 00 2002 12 31 00 28.70   1.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2002 12 31 00 2003 01 03 23 29.40   2.20   0.50  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 01 03 23 2003 01 06 23 29.00   1.70   0.10  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 01 06 23 2003 01 11 00 29.10   1.70   0.20  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 01 11 00 2003 01 13 23 29.40   1.90   0.50  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 01 13 23 2003 01 18 00 28.60   1.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 01 18 00 2003 01 21 00 28.60   0.90   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 01 21 00 2003 01 24 23 28.90   1.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 01 24 23 2003 01 28 00 28.90   1.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 01 28 00 2003 01 31 23 28.90   1.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 01 31 23 2003 02 03 23 28.50   0.50   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 02 03 23 2003 02 08 00 28.80   0.70   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 02 08 00 2003 02 10 23 28.80   0.60   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 02 10 23 2003 02 15 00 28.40   0.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 02 15 00 2003 02 17 23 28.50   0.10   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 02 17 23 2003 02 21 23 28.70   0.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 02 21 23 2003 02 25 00 28.50   0.00   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 02 25 00 2003 02 28 23 28.90   0.30   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 02 28 23 2003 03 04 00 28.90   0.20   0.00  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 03 04 00 2003 03 08 00 29.10   0.40   0.20  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 03 08 00 2003 03 10 23 29.30   0.50   0.40  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 03 10 23 2003 03 15 00 29.30   0.40   0.40  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 03 15 00 2003 03 17 23 29.00   0.10   0.10  0.00   5.5  -87.0 Isla del Coco, Costa Rica
2003 03 17 23 2003 03 22 00 29.10   0.30   0.20  0.00   5.5  -87.0 Isla del Coco, Costa Rica
